uf;porte_do_cliente;setor_bndes;produto;ano;;valor_desembolsado_reais
 AC;GRANDE;INFRAESTRUTURA;BNDES FINAME;2010;sum;646099.0
 AC;GRANDE;INFRAESTRUTURA;BNDES FINAME;2011;count;26.0
 AC;GRANDE;INFRAESTRUTURA;BNDES FINAME;2011;sum;1780710.0
 AC;GRANDE;INFRAESTRUTURA;BNDES FINAME;2014;count;13.0
 AC;GRANDE;INFRAESTRUTURA;BNDES FINAME;2014;sum;2377587.0
 AC;GRANDE;INFRAESTRUTURA;BNDES FINAME;2015;count;8.0
 AC;GRANDE;INFRAESTRUTURA;BNDES FINAME;2015;sum;1956748.0
 AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2002;count;1.0
 AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2002;sum;150000.0
 AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2003;count;74.0
 AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2003;sum;8420022.0
 AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2004;count;74.0
 AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2004;sum;7868661.0
 AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2005;count;48.0
 AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2005;sum;6259316.0
 AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2006;count;29.0
 AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2006;sum;3412446.0
 AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2007;count;18.0
 AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2007;sum;1909375.0
 AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2008;count;17.0
 AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2008;sum;2241831.0
 AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2009;count;8.0
 AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2009;sum;1723426.0
 AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2010;count;12.0
 AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2010;sum;2481447.0
 AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2012;count;1.0
 AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2012;sum;56000.0
 AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2016;count;1.0
 AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2016;sum;240000.0
 AC;MICRO;AGROPECUÁRIA;BNDES FINAME;2005;count;1.0
 AC;MICRO;AGROPECUÁRIA;BNDES FINAME;2005;sum;220000.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2002;count;1.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2002;sum;105760.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2003;count;38.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2003;sum;1027500.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2004;count;44.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2004;sum;1297500.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2005;count;49.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2005;sum;1844000.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2011;count;2.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2011;sum;242000.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2012;count;385.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2012;sum;44779884.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2013;count;296.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2013;sum;34651362.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2014;count;215.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2014;sum;21924710.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2015;count;298.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2015;sum;34277222.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2016;count;67.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2016;sum;8057256.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2017;count;23.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2017;sum;2120300.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2018;count;6.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2018;sum;484000.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2019;count;1.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2019;sum;23400.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2020;count;5.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2020;sum;455650.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2002;count;12.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2002;sum;703586.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2003;count;9.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2003;sum;1005214.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2005;count;5.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2005;sum;341897.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2006;count;5.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2006;sum;674708.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2007;count;15.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2007;sum;1649399.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2008;count;8.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2008;sum;1544000.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2009;count;4.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2009;sum;660000.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2010;count;26.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2010;sum;3842811.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2011;count;35.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2011;sum;4145717.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2012;count;56.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2012;sum;6896675.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2013;count;64.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2013;sum;11065570.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2014;count;55.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2014;sum;9299457.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2015;count;18.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2015;sum;2055813.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2016;count;2.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2016;sum;131200.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2017;count;2.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2017;sum;366700.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2018;count;1.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2018;sum;330750.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2019;count;3.0
 AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2019;sum;215317.0
 AC;MICRO;INDUSTRIA;BNDES AUTOMÁTICO;2002;count;1.0
 AC;MICRO;INDUSTRIA;BNDES AUTOMÁTICO;2002;sum;195104.0
 AC;MICRO;INDUSTRIA;BNDES AUTOMÁTICO;2003;count;4.0
 AC;MICRO;INDUSTRIA;BNDES AUTOMÁTICO;2003;sum;119000.0
 AC;MICRO;INDUSTRIA;BNDES AUTOMÁTICO;2004;count;3.0
 AC;MICRO;INDUSTRIA;BNDES AUTOMÁTICO;2004;sum;47000.0
 AC;MICRO;INDUSTRIA;BNDES AUTOMÁTICO;2005;count;10.0
 AC;MICRO;INDUSTRIA;BNDES AUTOMÁTICO;2005;sum;352000.0
 AC;MICRO;INDUSTRIA;BNDES AUTOMÁTICO;2006;count;1.0
 AC;MICRO;INDUSTRIA;BNDES AUTOMÁTICO;2006;sum;100000.0
 AC;MICRO;INDUSTRIA;BNDES AUTOMÁTICO;2008;count;1.0
 AC;MICRO;INDUSTRIA;BNDES AUTOMÁTICO;2008;sum;100000.0
 AC;MICRO;INDUSTRIA;BNDES AUTOMÁTICO;2012;count;26.0
 AC;MICRO;INDUSTRIA;BNDES AUTOMÁTICO;2012;sum;2682000.0
 AC;MICRO;INDUSTRIA;BNDES AUTOMÁTICO;2013;count;29.0
 AC;MICRO;INDUSTRIA;BNDES AUTOMÁTICO;2013;sum;3166000.0
 AC;MICRO;INDUSTRIA;BNDES AUTOMÁTICO;2014;count;6.0
 AC;MICRO;INDUSTRIA;BNDES AUTOMÁTICO;2014;sum;617600.0
 AC;MICRO;INDUSTRIA;BNDES AUTOMÁTICO;2015;count;20.0
 AC;MICRO;INDUSTRIA;BNDES AUTOMÁTICO;2015;sum;2405140.0
 AC;MICRO;INDUSTRIA;BNDES AUTOMÁTICO;2016;count;5.0
 AC;MICRO;INDUSTRIA;BNDES AUTOMÁTICO;2016;sum;568000.0
 AC;MICRO;INDUSTRIA;BNDES AUTOMÁTICO;2017;count;1.0
 AC;MICRO;INDUSTRIA;BNDES AUTOMÁTICO;2017;sum;51000.0
 AC;MICRO;INDUSTRIA;BNDES AUTOMÁTICO;2018;count;1.0
 AC;MICRO;INDUSTRIA;BNDES AUTOMÁTICO;2018;sum;100000.0
 AC;MICRO;INDUSTRIA;BNDES FINAME;2003;count;2.0
 AC;MICRO;INDUSTRIA;BNDES FINAME;2003;sum;280000.0
 AC;MICRO;INDUSTRIA;BNDES FINAME;2005;count;1.0
 AC;MICRO;INDUSTRIA;BNDES FINAME;2005;sum;154800.0
 AC;MICRO;INDUSTRIA;BNDES FINAME;2006;count;2.0
 AC;MICRO;INDUSTRIA;BNDES FINAME;2006;sum;424652.0
 AC;MICRO;INDUSTRIA;BNDES FINAME;2007;count;6.0
 AC;MICRO;INDUSTRIA;BNDES FINAME;2007;sum;1001985.0
 AC;MICRO;INDUSTRIA;BNDES FINAME;2008;count;5.0
 AC;MICRO;INDUSTRIA;BNDES FINAME;2008;sum;813357.0
 AC;MICRO;INDUSTRIA;BNDES FINAME;2009;count;4.0
 AC;MICRO;INDUSTRIA;BNDES FINAME;2009;sum;407629.0
 AC;MICRO;INDUSTRIA;BNDES FINAME;2010;count;16.0
 AC;MICRO;INDUSTRIA;BNDES FINAME;2010;sum;2618966.0
 AC;MICRO;INDUSTRIA;BNDES FINAME;2011;count;12.0
 AC;MICRO;INDUSTRIA;BNDES FINAME;2011;sum;1244100.0
 AC;MICRO;INDUSTRIA;BNDES FINAME;2012;count;29.0
 AC;MICRO;INDUSTRIA;BNDES FINAME;2012;sum;3926697.0
 AC;MICRO;INDUSTRIA;BNDES FINAME;2013;count;24.0
 AC;MICRO;INDUSTRIA;BNDES FINAME;2013;sum;3739854.0
 AC;MICRO;INDUSTRIA;BNDES FINAME;2014;count;4.0
 AC;MICRO;INDUSTRIA;BNDES FINAME;2014;sum;842339.0
 AC;MICRO;INDUSTRIA;BNDES FINAME;2015;count;4.0
 AC;MICRO;INDUSTRIA;BNDES FINAME;2015;sum;663300.0
 AC;MICRO;INFRAESTRUTURA;BNDES AUTOMÁTICO;2004;count;1.0
 AC;MICRO;INFRAESTRUTURA;BNDES AUTOMÁTICO;2004;sum;94000.0
 AC;MICRO;INFRAESTRUTURA;BNDES AUTOMÁTICO;2012;count;10.0
 AC;MICRO;INFRAESTRUTURA;BNDES AUTOMÁTICO;2012;sum;1108711.0
 AC;MICRO;INFRAESTRUTURA;BNDES AUTOMÁTICO;2013;count;6.0
 AC;MICRO;INFRAESTRUTURA;BNDES AUTOMÁTICO;2013;sum;1083344.0
 AC;MICRO;INFRAESTRUTURA;BNDES AUTOMÁTICO;2014;count;7.0
 AC;MICRO;INFRAESTRUTURA;BNDES AUTOMÁTICO;2014;sum;857000.0
 AC;MICRO;INFRAESTRUTURA;BNDES AUTOMÁTICO;2015;count;6.0
 AC;MICRO;INFRAESTRUTURA;BNDES AUTOMÁTICO;2015;sum;593700.0
 AC;MICRO;INFRAESTRUTURA;BNDES AUTOMÁTICO;2016;count;5.0
 AC;MICRO;INFRAESTRUTURA;BNDES AUTOMÁTICO;2016;sum;919500.0
 AC;MICRO;INFRAESTRUTURA;BNDES AUTOMÁTICO;2017;count;1.0
 AC;MICRO;INFRAESTRUTURA;BNDES AUTOMÁTICO;2017;sum;105000.0
 AC;MICRO;INFRAESTRUTURA;BNDES FINAME;2002;count;2.0
 AC;MICRO;INFRAESTRUTURA;BNDES FINAME;2002;sum;158212.0
 AC;MICRO;INFRAESTRUTURA;BNDES FINAME;2003;count;2.0
 AC;MICRO;INFRAESTRUTURA;BNDES FINAME;2003;sum;402391.0
 AC;MICRO;INFRAESTRUTURA;BNDES FINAME;2004;count;3.0
 AC;MICRO;INFRAESTRUTURA;BNDES FINAME;2004;sum;487524.0
 AC;MICRO;INFRAESTRUTURA;BNDES FINAME;2005;count;2.0
 AC;MICRO;INFRAESTRUTURA;BNDES FINAME;2005;sum;267732.0
 AC;MICRO;INFRAESTRUTURA;BNDES FINAME;2006;count;18.0
 AC;MICRO;INFRAESTRUTURA;BNDES FINAME;2006;sum;1586730.0
 AC;MICRO;INFRAESTRUTURA;BNDES FINAME;2007;count;15.0
 AC;MICRO;INFRAESTRUTURA;BNDES FINAME;2007;sum;1961857.0
 AC;MICRO;INFRAESTRUTURA;BNDES FINAME;2008;count;17.0
 AC;MICRO;INFRAESTRUTURA;BNDES FINAME;2008;sum;1685307.0
 AC;MICRO;INFRAESTRUTURA;BNDES FINAME;2009;count;41.0
 AC;MICRO;INFRAESTRUTURA;BNDES FINAME;2009;sum;4374803.0
 AC;MICRO;INFRAESTRUTURA;BNDES FINAME;2010;count;90.0
 AC;MICRO;INFRAESTRUTURA;BNDES FINAME;2010;sum;11343830.0
 AC;MICRO;INFRAESTRUTURA;BNDES FINAME;2011;count;104.0
 AC;MICRO;INFRAESTRUTURA;BNDES FINAME;2011;sum;7075105.0
 AC;MICRO;INFRAESTRUTURA;BNDES FINAME;2012;count;24.0
 AC;MICRO;INFRAESTRUTURA;BNDES FINAME;2012;sum;2721847.0
 AC;MICRO;INFRAESTRUTURA;BNDES FINAME;2013;count;17.0
 AC;MICRO;INFRAESTRUTURA;BNDES FINAME;2013;sum;2754069.0
 AC;MICRO;INFRAESTRUTURA;BNDES FINAME;2014;count;18.0
 AC;MICRO;INFRAESTRUTURA;BNDES FINAME;2014;sum;3039762.0
 AC;MICRO;INFRAESTRUTURA;BNDES FINAME;2015;count;5.0
 AC;MICRO;INFRAESTRUTURA;BNDES FINAME;2015;sum;255900.0
 AC;MICRO;INFRAESTRUTURA;BNDES FINAME;2016;count;1.0
 AC;MICRO;INFRAESTRUTURA;BNDES FINAME;2016;sum;124000.0
 AC;MÉDIA;AGROPECUÁRIA;BNDES FINAME;2008;count;1.0
 AC;MÉDIA;AGROPECUÁRIA;BNDES FINAME;2008;sum;175000.0
 AC;MÉDIA;AGROPECUÁRIA;BNDES FINAME;2013;count;1.0
 AC;MÉDIA;AGROPECUÁRIA;BNDES FINAME;2013;sum;172800.0
 AC;MÉDIA;AGROPECUÁRIA;BNDES FINAME;2020;count;2.0
 AC;MÉDIA;AGROPECUÁRIA;BNDES FINAME;2020;sum;1444140.0
 AC;MÉDIA;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2003;count;1.0
 AC;MÉDIA;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2003;sum;1597706.0
 AC;MÉDIA;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2011;count;1.0
 AC;MÉDIA;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2011;sum;250000.0
 AC;MÉDIA;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2012;count;21.0
 AC;MÉDIA;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2012;sum;14363600.0
 AC;MÉDIA;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2013;count;9.0
 AC;MÉDIA;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2013;sum;4125000.0
 AC;MÉDIA;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2014;count;2.0
 AC;MÉDIA;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2014;sum;600000.0
 AC;MÉDIA;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2015;count;8.0
 AC;MÉDIA;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2015;sum;3053309.0
 AC;MÉDIA;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2016;count;5.0
 AC;MÉDIA;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2016;sum;3297903.0
 AC;MÉDIA;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2017;count;6.0
 AC;MÉDIA;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2017;sum;4881274.0
 AC;MÉDIA;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2018;count;5.0
 AC;MÉDIA;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2018;sum;3300000.0
 AC;MÉDIA;COMÉRCIO E SERVIÇOS;BNDES FINAME;2002;count;4.0
 AC;MÉDIA;COMÉRCIO E SERVIÇOS;BNDES FINAME;2002;sum;792128.0
 AC;MÉDIA;COMÉRCIO E SERVIÇOS;BNDES FINAME;2003;count;6.0
 AC;MÉDIA;COMÉRCIO E SERVIÇOS;BNDES FINAME;2003;sum;624109.0
 AC;MÉDIA;COMÉRCIO E SERVIÇOS;BNDES FINAME;2004;count;3.0
 AC;MÉDIA;COMÉRCIO E SERVIÇOS;BNDES FINAME;2004;sum;198988.0
 AC;MÉDIA;COMÉRCIO E SERVIÇOS;BNDES FINAME;2005;count;2.0
 AC;MÉDIA;COMÉRCIO E SERVIÇOS;BNDES FINAME;2005;sum;229931.0
 AC;MÉDIA;COMÉRCIO E SERVIÇOS;BNDES FINAME;2006;count;1.0
 AC;MÉDIA;COMÉRCIO E SERVIÇOS;BNDES FINAME;2006;sum;381599.0
 AC;MÉDIA;COMÉRCIO E SERVIÇOS;BNDES FINAME;2007;count;10.0
 AC;MÉDIA;COMÉRCIO E SERVIÇOS;BNDES FINAME;2007;sum;3384876.0
 AC;MÉDIA;COMÉRCIO E SERVIÇOS;BNDES FINAME;2008;count;18.0
 AC;MÉDIA;COMÉRCIO E SERVIÇOS;BNDES FINAME;2008;sum;5163336.0
 AC;MÉDIA;COMÉRCIO E SERVIÇOS;BNDES FINAME;2009;count;4.0
 AC;MÉDIA;COMÉRCIO E SERVIÇOS;BNDES FINAME;2009;sum;4951000.0
 AC;MÉDIA;COMÉRCIO E SERVIÇOS;BNDES FINAME;2010;count;19.0
 AC;MÉDIA;COMÉRCIO E SERVIÇOS;BNDES FINAME;2010;sum;4911576.0
 AC;MÉDIA;COMÉRCIO E SERVIÇOS;BNDES FINAME;2011;count;49.0
 AC;MÉDIA;COMÉRCIO E SERVIÇOS;BNDES FINAME;2011;sum;9037175.0
