uf;porte_do_cliente;setor_bndes;produto;ano;;desembolsos_reais
AC;GRANDE;INDUSTRIA;BNDES FINAME;1997;sum;92835.0
AC;GRANDE;INDUSTRIA;BNDES FINAME;1998;count;2.0
AC;GRANDE;INDUSTRIA;BNDES FINAME;1998;sum;118999.98999999999
AC;GRANDE;INDUSTRIA;BNDES FINAME;2001;count;1.0
AC;GRANDE;INDUSTRIA;BNDES FINAME;2001;sum;20800.0
AC;GRANDE;INDUSTRIA;BNDES FINAME;2008;count;1.0
AC;GRANDE;INDUSTRIA;BNDES FINAME;2008;sum;158400.0
AC;GRANDE;INDUSTRIA;BNDES FINAME;2011;count;2.0
AC;GRANDE;INDUSTRIA;BNDES FINAME;2011;sum;268992.57
AC;GRANDE;INDUSTRIA;BNDES FINAME;2012;count;1.0
AC;GRANDE;INDUSTRIA;BNDES FINAME;2012;sum;42294.0
AC;GRANDE;INDUSTRIA;BNDES FINAME;2013;count;1.0
AC;GRANDE;INDUSTRIA;BNDES FINAME;2013;sum;153000.0
AC;GRANDE;INDUSTRIA;BNDES FINAME;2014;count;2.0
AC;GRANDE;INDUSTRIA;BNDES FINAME;2014;sum;207033.55
AC;GRANDE;INDUSTRIA;BNDES FINAME;2015;count;4.0
AC;GRANDE;INDUSTRIA;BNDES FINAME;2015;sum;513002.92
AC;GRANDE;INDUSTRIA;BNDES FINAME;2016;count;2.0
AC;GRANDE;INDUSTRIA;BNDES FINAME;2016;sum;637372.11
AC;GRANDE;INDUSTRIA;BNDES FINAME;2018;count;2.0
AC;GRANDE;INDUSTRIA;BNDES FINAME;2018;sum;83195.70999999999
AC;GRANDE;INFRAESTRUTURA;BNDES FINAME;1998;count;1.0
AC;GRANDE;INFRAESTRUTURA;BNDES FINAME;1998;sum;666741.48
AC;GRANDE;INFRAESTRUTURA;BNDES FINAME;2005;count;1.0
AC;GRANDE;INFRAESTRUTURA;BNDES FINAME;2005;sum;58400.0
AC;GRANDE;INFRAESTRUTURA;BNDES FINAME;2007;count;1.0
AC;GRANDE;INFRAESTRUTURA;BNDES FINAME;2007;sum;123446.02
AC;GRANDE;INFRAESTRUTURA;BNDES FINAME;2010;count;4.0
AC;GRANDE;INFRAESTRUTURA;BNDES FINAME;2010;sum;708576.0
AC;GRANDE;INFRAESTRUTURA;BNDES FINAME;2011;count;6.0
AC;GRANDE;INFRAESTRUTURA;BNDES FINAME;2011;sum;1332708.4
AC;GRANDE;INFRAESTRUTURA;BNDES FINAME;2012;count;2.0
AC;GRANDE;INFRAESTRUTURA;BNDES FINAME;2012;sum;448000.0
AC;GRANDE;INFRAESTRUTURA;BNDES FINAME;2014;count;5.0
AC;GRANDE;INFRAESTRUTURA;BNDES FINAME;2014;sum;2253836.56
AC;GRANDE;INFRAESTRUTURA;BNDES FINAME;2015;count;7.0
AC;GRANDE;INFRAESTRUTURA;BNDES FINAME;2015;sum;2080497.77
AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2002;count;1.0
AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2002;sum;150000.0
AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2003;count;26.0
AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2003;sum;8420022.98
AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2004;count;31.0
AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2004;sum;6303039.620000001
AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2005;count;38.0
AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2005;sum;7250387.04
AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2006;count;27.0
