"ano";"mes";"acre";"amapa";"amazonas";"para";"rondonia";"roraima";"tocantins";"alagoas";"bahia";"ceara";"maranhao";"paraiba";"pernambuco";"piaui";"rio_grande_do_norte";"sergipe";"espirito_santo";"minas_gerais";"rio_de_janeiro";"sao_paulo";"parana";"rio_grande_do_sul";"santa_catarina";"distrito_federal";"goias";"mato_grosso";"mato_grosso_do_sul"
1996;3;"0,0";"0,0";"3,83431962";"8,03125004";"0,27548567";"0,0";"1,40785507";"2,30750048";"49,0329694";"8,78554656";"3,37056963";"3,65120295";"15,18370541";"0,9008511";"5,81447169";"5,47944491";"17,4307378";"57,9769427000001";"117,76913559";"220,11989129";"61,2993173200001";"56,96045711";"37,57117976";"17,4443265";"8,49884602";"7,45013741000001";"9,69275113000001"
1996;4;"0,0";"0,0";"1,42145646";"2,96725484";"0,13391299";"0,10335134";"0,5197233";"0,74401397";"28,89649098";"7,42048052";"2,73771817";"8,22363538";"10,989856";"0,56579423";"2,77027689";"1,65628548";"10,91965589";"33,4313515599999";"62,41965175";"194,0130018";"59,0566777100001";"35,2178191499999";"19,96824521";"3,28735263";"9,74542433";"7,90152696";"2,44783283"
1996;5;"0,0";"0,0";"3,93328848";"5,52457349";"0,60329654";"0,02794299";"0,4930463";"0,50871541";"24,29867282";"7,26800191";"2,92804776";"7,16748758";"12,04891674";"0,82508813";"15,85259134";"1,71589704";"12,54041413";"35,1698115499999";"818,589996120001";"188,299540200001";"44,28428527";"35,19781043";"76,8349467499999";"1,55675124";"8,80297008";"7,91685737";"10,08495332"
1996;6;"0,0";"0,0";"15,23219139";"0,9106609";"0,59850967";"0,0";"4,05245265";"0,45931307";"42,71091704";"7,89570856000001";"2,33263391";"0,80949394";"4,99217562";"0,7472375";"0,30380829";"0,81453927";"13,02510037";"37,71823905";"165,95351553";"166,0134907";"36,00207848";"67,2077048700001";"23,52352299";"3,73582852";"11,72358938";"10,44289684";"2,746846"
1996;7;"0,0";"0,0";"7,18115202";"3,18797701";"0,65892126";"0,0";"0,09209339";"0,61913754";"181,54216216";"16,17027959";"0,34153514";"4,28324641";"10,85852287";"0,65264379";"4,87528143";"2,53425043";"73,89349671";"51,7391851700001";"79,87981995";"200,20375923";"38,07493917";"62,79096822";"30,7401420599999";"7,32835007";"9,56055713";"3,09509151";"3,51516148"
1996;8;"0,0";"0,0";"3,25671315";"1,67425869";"0,57005272";"0,0";"0,37731295";"26,97043687";"85,6757317799999";"8,48484493";"3,53965769";"0,59395515";"4,33338104";"0,6007031";"1,57376254";"4,85002317";"11,79847103";"34,4202162299999";"89,84227296";"171,98234035";"53,89326915";"50,60720659";"36,33665657";"2,81656975";"14,00458155";"4,37804566";"2,65169422"
1996;9;"0,0";"0,0";"12,01996165";"3,42225882";"1,23966432";"0,0";"1,26227476";"1,8951623";"32,80406337";"22,66838558";"2,16864951";"0,9020254";"11,8004962";"0,73035866";"2,42309998";"13,06655804";"33,26839687";"50,82247535";"139,86467856";"189,94608481";"227,274660050002";"49,2221842900001";"26,31748868";"5,18423453";"51,11308019";"22,78733696";"7,13659187"
1996;10;"0,0";"0,0688";"9,51495822";"6,37055775";"0,61003362";"0,0";"1,51897417";"0,83624638";"37,44338459";"9,16181431000001";"2,26069483";"1,71580742";"8,50706013";"1,30822416";"1,14269828";"1,96566188";"10,42712238";"29,04520459";"101,36625447";"172,54020951";"37,79095287";"54,35849525";"34,46325831";"1,80439784";"75,2619122599999";"4,50643503";"4,3359566"
1996;11;"0,0";"0,79949058";"5,32637111";"21,24845684";"33,62894149";"0,02615007";"2,16684889";"4,29234167";"28,7204175";"18,30578599";"2,15943926";"2,43577051";"12,87525034";"0,55026668";"25,32203265";"27,75447982";"16,76350717";"28,7710547499999";"91,22277405";"183,20735279";"39,56684564";"38,96035194";"114,66214754";"2,02187413";"4,38559942000001";"17,74714758";"15,22389649"
1996;12;"2,06503249";"0,0";"8,4319156";"3,69671065";"13,16246731";"0,0";"2,70754954";"4,38158797";"80,99091387";"37,61645268";"28,93227707";"0,97957278";"36,18807635";"22,69913037";"5,39755075";"22,47136253";"141,2801654";"63,17721961";"89,35252203";"304,222444850001";"215,54503679";"251,94604986";"84,7948611899999";"3,2212897";"17,77719347";"57,29168795";"28,22838886"
1997;1;"0,0";"0,23266417";"3,43162034";"1,15153222";"0,32397878";"0,00311579";"0,10828304";"2,42967764";"15,13278432";"15,27627809";"2,30045951";"3,46923884";"4,4377716";"1,34284722";"2,95041189";"4,68627919";"28,90632279";"33,0522629899999";"72,1142079";"90,6079908999997";"257,211913260001";"142,68375142";"99,2137457199999";"4,75777817";"6,30272429";"3,55841474";"0,85340445"
1997;2;"0,0";"0,0";"2,41423269";"0,70440474";"0,02309287";"0,0119484";"0,43683664";"0,90880475";"34,5584636";"4,9385263";"10,64995358";"0,60389511";"5,40261075";"2,0678857";"0,69920833";"4,48306423";"30,28296427";"65,5071459300001";"48,2477169300001";"108,00070871";"60,4006008000001";"48,1989003499999";"34,05850064";"2,49007515";"10,46993493";"3,35357701";"1,19881809"
1997;3;"0,0";"0,0";"0,86820513";"1,54225085";"0,20335687";"0,03299798";"0,45671582";"2,12981977";"45,47503828";"4,3140665";"5,2766523";"1,02155894";"7,96251821";"1,10087494";"2,90547174";"27,42971695";"22,11894743";"57,93115416";"40,12194665";"153,57336771";"50,01146158";"41,18662851";"32,44204437";"2,18795558";"198,57138424";"7,8179162";"4,91504679"
1997;4;"1,8194451";"0,0";"1,89718992";"7,39908177";"0,58072986";"0,04998597";"0,43920465";"4,25932449";"94,8209591799999";"34,09812163";"7,80758418";"2,56328555";"4,99425301";"2,04950384";"1,31128833";"11,39066942";"17,00948782";"74,9435536";"112,22520126";"143,94246854";"166,33959081";"55,21527752";"78,9991039799998";"1,66827227";"14,21250176";"6,69514331";"7,68640923"
1997;5;"0,16346999";"0,0";"5,8531364";"121,22145772";"0,48495677";"0,0369";"1,0414004";"2,49774724";"38,37322394";"16,02949441";"1,86048483";"2,13610757";"18,67331442";"3,75319842";"3,00260588";"3,08772811";"15,67744625";"53,14284713";"631,00683919";"231,93586386";"68,2072877200002";"102,68466641";"42,27335099";"8,6555935";"9,77771364000001";"5,07167401";"2,18054608"
1997;6;"1,84543226";"0,0";"7,39290342";"14,61483286";"2,81654381";"0,0";"0,87522835";"1,60988741";"38,59422062";"8,16215021";"4,00601488";"1,53427387";"9,68436219000001";"3,37255446";"1,48990059";"10,94559935";"13,89841149";"784,406520560001";"117,30846331";"248,780142630001";"92,7744699799999";"143,31325915";"70,46109361";"7,62329838";"87,0657985199998";"5,3884612";"8,58650833000001"
1997;7;"1,49279408";"0,0998622";"2,74900288";"4,49132754";"1,05652418";"0,0";"0,94656871";"4,95390639";"66,5361049100001";"23,69266511";"15,23288039";"8,67293594";"5,94036775";"2,82534339";"2,48754792";"49,86227434";"16,97642295";"145,08898772";"97,99711005";"584,632646440002";"68,51008373";"94,6943747599998";"92,2881758399999";"9,39098876";"42,4521158";"16,05983675";"17,61815783"
1997;8;"0,0";"0,12087922";"4,1341973";"27,48946628";"1,25509915";"0,0";"8,22216153";"2,91991864";"520,85712292";"50,4874169";"3,24007522";"0,63325419";"34,27433258";"1,47550813";"0,37067922";"13,82354068";"32,69158435";"71,02095209";"92,4106900799999";"308,892182960002";"73,2371800399999";"37,6926248199999";"57,50463312";"3,81596106";"7,37107228000001";"12,31025169";"21,74062832"
1997;9;"2,34381939";"0,14792495";"0,62404954";"12,99536758";"4,73135768";"0,0";"1,05718849";"3,26135701";"34,90666488";"33,39164742";"1,66552338";"7,26232669";"19,53231382";"5,93195787";"18,08841824";"2,98509703";"30,7792499";"143,58320973";"143,37071089";"1235,52739843";"123,27420447";"240,49471415";"75,4507282899999";"3,23735016";"8,03282916000001";"7,4748251";"4,0977221"
1997;10;"6,3680829";"0,20139999";"6,2279374";"5,6866851";"1,93947998";"0,0";"0,70566507";"7,05035092";"51,10029744";"22,6261651";"3,4883287";"1,772154";"20,73296492";"4,42288085";"18,85748331";"4,77634129";"17,67565519";"87,8160860599999";"176,82322066";"511,966243200002";"97,4531602999997";"241,859947940001";"91,3123265399999";"32,98519804";"60,6880586100001";"126,53251651";"3,29411496"
1997;11;"0,31446499";"0,08580149";"5,42380433";"23,85974354";"1,29142281";"0,0";"1,85861987";"4,15103357";"110,09135134";"29,21624537";"16,58064732";"3,17284536";"12,3342933";"4,01789252";"1,33659055";"2,84828318";"12,41567229";"82,2849192799998";"118,66879191";"1504,48446061";"64,4744009400001";"220,57729478";"66,8508413299999";"40,7142794";"7,07872094000001";"24,93487709";"177,6768062"
1997;12;"1,59482099";"0,0";"3,47683864";"28,73637739";"2,88457795";"0,0";"3,50939324";"5,34336915";"68,20915458";"89,8879204599999";"25,39914354";"14,12312736";"14,83980735";"6,52999682";"1,30038345";"396,22317109";"57,05727577";"87,60376525";"183,00297591";"1115,5958306";"162,11613019";"124,12940965";"57,7873709500001";"13,60623938";"88,6708822999998";"348,13556015";"6,15646944"
1998;1;"0,06776";"0,01072";"1,36768817";"1,75758944";"1,97792206";"0,0";"30,55177035";"2,39120675";"42,25875958";"43,95716669";"9,95342135";"2,4980772";"9,44559449";"2,60951669";"17,58373357";"18,14244105";"5,48013237";"85,1340717899998";"110,30516533";"302,58975623";"34,2310344899999";"54,41052104";"91,0611169499999";"18,6307433";"10,62748531";"101,32467658";"12,78355992"
1998;2;"0,09788506";"0,02625871";"6,37186567";"5,57138738";"0,17265298";"0,0271136";"1,46656457";"2,81371329";"49,47964276";"37,08263153";"4,88540345";"3,36771659";"32,42248509";"3,22853565";"2,15950123";"4,59616776";"52,57258347";"79,74631286";"100,17826164";"420,391485460001";"54,46627411";"67,0145968700001";"59,3214674";"18,49899835";"311,91489489";"18,62038539";"19,64554162"
1998;3;"0,07";"0,0";"1,54452063";"4,77146085";"0,83215393";"0,0";"1,00465976";"3,18865084";"33,96789887";"28,54491608";"6,92954681";"2,41881175";"22,19873034";"4,12097958";"2,1154695";"8,49580631";"38,99906154";"178,39542687";"87,6433718699999";"444,882471280001";"131,72709023";"135,07200249";"36,29898711";"17,28792279";"20,65365999";"22,89448099";"13,32256632"
1998;4;"0,77308911";"0,0";"1,25911228";"2,81129895";"0,58363739";"0,0";"1,06386146";"2,59799219";"45,02191182";"62,22969992";"125,39582138";"6,42175654";"10,33827753";"1,2745923";"2,4280949";"10,54013896";"7,09000146";"106,48413284";"150,08463386";"1339,89363332";"99,66466254";"105,33024266";"62,29060139";"30,98147162";"14,9828988";"13,74578662";"15,15308442"
1998;5;"0,0";"0,0";"4,15852536";"3,26808805";"0,7565575";"0,0";"0,30716099";"3,40924168";"67,86013917";"35,42211196";"16,63579165";"1,45640957";"11,77229811";"3,67817767";"1,09106149";"1,30701895";"8,27867924";"80,4538919299999";"162,13997881";"419,562559630001";"53,6071980600001";"123,85223373";"63,9919026900001";"20,14732964";"10,69586487";"11,5713365";"15,6696332"
1998;6;"0,66674148";"0,0";"26,72078546";"3,27783804";"2,39275538";"0,0";"0,36985553";"2,20038759";"61,80358657";"33,19927097";"5,86762696";"2,53489177";"19,2747978";"2,65132768";"4,80129929";"2,66974247";"17,29967598";"603,91112863";"346,19368148";"547,079937850001";"39,54953649";"96,12068878";"49,18910778";"24,45047551";"12,55381837";"11,14903148";"11,94221808"
1998;7;"0,3795";"0,027796";"2,65786248";"368,30355625";"3,41946519";"0,0";"1,26634808";"3,18564746";"72,92302236";"63,58042477";"6,09507805";"2,54022094";"7,21183513";"1,34602631";"2,74862371";"2,6247627";"17,07182977";"161,5305079";"235,6162743";"495,56975225";"59,97455349";"103,37162425";"52,88777281";"32,28844055";"18,33702892";"7,49851577";"24,87891478"
1998;8;"0,43231378";"0,4883612";"6,70411359";"7,61145886";"1,21779062";"0,0";"1,31809993";"2,75481056";"24,93150609";"18,04939814";"7,16891177";"2,12378333";"17,69676385";"3,54508033";"5,80993217";"3,46229925";"18,70913916";"250,53980432";"346,83515637";"787,40804679";"204,97620966";"150,50554618";"74,56066845";"51,24634088";"33,30643716";"7,15454502";"12,74525133"
1998;9;"0,287656";"0,13950862";"9,25270214";"13,2889606";"0,91412364";"0,0";"1,17925585";"5,01023591";"63,52888984";"35,40431148";"7,28163734";"8,64562235";"24,04506591";"9,03206";"8,08840018";"9,7091292";"45,23616379";"271,04800508";"129,38530674";"889,57794952";"75,13388345";"112,17201673";"132,73696681";"44,14658133";"19,84722938";"27,54105815";"18,29047839"
1998;10;"0,0";"0,41516616";"18,03066329";"9,62899216";"0,58663214";"0,0";"15,328765";"3,35283004";"62,68728659";"26,17758847";"17,08006954";"3,09444532";"49,90225538";"12,69169448";"3,00732224";"6,6944121";"39,15581532";"81,20017926";"167,15733151";"489,97355552";"45,01428842";"140,6296829";"43,71096036";"3,58766179";"30,05294011";"11,29652518";"13,23072779"
1998;11;"0,0";"0,046";"7,23106723";"9,407124";"1,98566296";"0,0";"0,84154499";"5,14940467";"109,89729815";"21,3205284";"3,03806019";"8,78945873";"27,31338461";"4,99483521";"3,53862891";"4,85679404";"86,98254395";"186,88575481";"155,18759485";"500,59357814";"72,71811731";"103,18654844";"91,61136425";"4,81014144";"29,47971126";"16,18969071";"27,94326898"
1998;12;"0,03571198";"0,0";"7,98807124";"8,07541586";"0,62429338";"0,0";"1,90611744";"3,085139";"38,54337351";"31,36131395";"2,52671225";"3,75839587";"26,63899714";"5,99696372";"2,63820576";"22,57157474";"24,52455068";"98,64774332";"312,49904619";"502,67218867";"60,71038476";"149,20301237";"75,08710605";"115,2176117";"24,09642851";"41,25167183";"21,89975084"
1999;1;"0,0";"0,0";"3,36543789";"1,61096942";"0,10817223";"0,05759064";"0,91308491";"1,0325584";"49,33350072";"16,56937778";"1,61015422";"4,55701683";"15,4391658";"4,29188775";"2,2797926";"9,96195199";"5,936597";"39,34368704";"88,11804754";"389,52166009";"46,6136152";"63,44513662";"39,83804529";"0,68093301";"14,58904918";"15,90658687";"16,96599418"
1999;2;"0,05474";"0,0";"2,02521823";"3,20758622";"1,68693073";"0,0";"2,8108906";"0,53073516";"24,32429418";"35,5103074";"4,19359352";"4,94098908";"5,89748002";"1,12787005";"1,99339523";"1,47601139";"3,11447923";"122,96493358";"103,28455117";"486,12707766";"34,85052054";"53,44365252";"57,45380425";"17,70064764";"51,54306415";"14,46172905";"10,75041878"
1999;3;"0,74016516";"4,9187046";"39,36544646";"18,72678497";"0,630551";"0,0";"1,1438913";"4,97166741";"115,17074675";"21,40766968";"2,14628467";"3,28377697";"8,3428717";"1,26397277";"2,60668354";"3,71635707";"5,60412904";"42,34786295";"387,11200691";"596,74608755";"33,51497781";"231,40718803";"35,72777051";"28,01209999";"8,32014463";"14,87576613";"13,45695899"
1999;4;"0,0";"2,20154262";"7,97545581";"6,84860459";"0,1931408";"0,0";"1,99470667";"2,27407266";"26,84443132";"46,91612466";"5,53238009";"4,06423636";"10,30004734";"2,13771968";"5,13282266";"1,24502361";"5,95849537";"86,36014831";"73,92098199";"434,91788641";"74,15097648";"89,79816076";"61,09301627";"4,18295109";"10,06539861";"11,92844531";"57,52608996"
1999;5;"0,0306";"0,0";"2,49790056";"2,91180911";"0,71432022";"0,0";"1,16633622";"0,93938178";"74,08649116";"13,75771358";"3,0295316";"7,9161896";"13,38950587";"4,94342488";"1,78844754";"2,89543625";"6,18025774";"142,57044297";"151,11685916";"315,05357263";"40,74695659";"86,59500323";"64,95403625";"4,62734243";"61,96413563";"9,59054726";"14,87878165"
1999;6;"0,07308";"0,0";"2,78900388";"52,2316773";"3,06247578";"0,045";"0,71720347";"1,2021566";"126,4625664";"10,85188581";"3,43463289";"1,34226741";"7,06533669";"2,62575207";"3,08083792";"2,57798481";"10,33511984";"251,3861819";"284,1402415";"390,73464779";"280,12138858";"78,614967";"34,94125858";"52,90547769";"10,04874529";"14,12508693";"13,44760932"
1999;7;"0,0";"2,42813884";"3,80228282";"42,79653699";"0,43320441";"0,0";"0,2002937";"2,13963119";"38,88393051";"16,42099892";"5,02022466";"2,87774717";"13,71280052";"3,53792586";"2,85292669";"4,8595963";"9,06540073";"67,7057639699999";"152,22800573";"365,12466748";"40,02787435";"170,41314901";"31,77517384";"11,82842754";"23,3376548";"10,11379543";"57,33301853"
1999;8;"0,0";"1,28247324";"0,64103104";"41,85089014";"1,21574081";"0,0";"1,57373247";"1,14598194";"63,06041538";"41,55035956";"2,2094925";"0,52540655";"8,43367164";"4,87822105";"3,23798977";"1,2591412";"7,71041459";"212,40231688";"336,44318516";"411,91330494";"132,58683751";"132,81988625";"38,3284322";"3,74566314";"15,56522321";"21,42933806";"20,45298619"
1999;9;"0,10314";"0,0";"6,02015059";"30,11152502";"1,97219619";"0,0";"0,7365605";"3,60934693";"37,01141188";"17,61854441";"2,30081145";"1,46457586";"11,69745722";"1,41749901";"2,08179749";"2,69882193";"16,04015686";"135,47153362";"84,67896419";"495,911734760001";"52,34557306";"158,3637324";"138,04375239";"2,21000289";"12,88218195";"18,27533555";"8,52961015"
1999;10;"0,91000001";"0,86338264";"6,89293344";"10,84706889";"2,52943378";"0,0";"0,95305144";"1,3502197";"58,51711575";"56,81497279";"2,23712164";"2,04981254";"50,90750969";"2,93361573";"3,10892662";"3,35656069";"7,77959364";"103,0946495";"155,07761868";"705,40828667";"85,93232134";"109,80889168";"82,38312217";"23,58490635";"100,86053811";"17,79226134";"10,54635909"
1999;11;"0,0596";"1,364";"11,03734229";"25,82134403";"1,07383519";"1,776";"0,50173487";"12,22057549";"39,25471657";"22,98538417";"11,87128586";"1,62501353";"12,57595784";"0,80444306";"3,02669873";"2,7090607";"13,5058057";"132,54892899";"125,53862328";"929,761345";"89,47706581";"243,47980993";"154,61358041";"3,92584283";"46,13856157";"15,1380248";"17,99177604"
1999;12;"5,76881367";"0,0";"16,49718";"53,61338461";"17,46892124";"0,06189624";"0,42593758";"18,51062074";"90,9162154999999";"40,0432019";"4,52690711";"51,34142015";"75,99336946";"38,95384262";"3,46916915";"11,68182172";"26,06577894";"466,8679251";"667,04712172";"867,17020462";"194,30794434";"124,43832704";"437,84151077";"65,63885634";"117,83391128";"55,33621671";"42,1529995"
2000;1;"0,036";"0,243";"0,17390812";"4,82599843";"0,60651999";"0,0";"0,1107895";"3,44087479";"32,6205710999999";"16,04031458";"2,37375407";"1,0496168";"12,19503199";"7,51797406";"2,30231427";"1,35392059";"13,48890505";"56,40577813";"148,03934752";"417,49614108";"30,99867213";"58,84859596";"52,57370293";"8,10587507";"17,80469226";"9,06236861";"18,48322108"
