"ano";"mes";"bndes_finem";"bndes_exim";"bndes_nao_reembolsavel";"bndes_automatico";"bndes_finame";"cartao_bndes"
1995;1;"7511,4017483";"3154,680457";"0,0";"38412,2475349";"242020,1384325";"0,0"
1995;2;"14315,207536";"7062,5530254";"0,0";"56078,4984703";"174987,9485015";"0,0"
1995;3;"23339,652517";"1253,3233924";"0,0";"86092,7299629001";"308176,1837644";"0,0"
1995;4;"19161,7691333";"1171,0";"0,0";"66137,5150518";"257442,780362099";"0,0"
1995;5;"26752,2694024";"1763,0";"0,0";"84984,0712689999";"373061,6319692";"0,0"
1995;6;"20422,3767967";"4179,0930051";"0,0";"77583,6496404";"337593,135544399";"0,0"
1995;7;"43679,9009908";"2887,7336814";"0,0";"90751,052107";"310022,630055998";"0,0"
1995;8;"45005,1268876";"2741,4846204";"0,0";"81966,8887435";"290319,775182099";"0,0"
1995;9;"38201,0321091";"4607,5269954";"0,0";"80647,5416409";"241911,4292625";"0,0"
1995;10;"32814,6285739";"28911,4293722";"0,0";"88159,6840473";"268678,3562745";"0,0"
1995;11;"50289,0785664";"13909,4492255";"0,0";"93881,2556573";"276229,250944999";"0,0"
1995;12;"96058,0585821";"19394,9877076";"0,0";"107187,4142941";"232969,222548201";"0,0"
1996;1;"33597,603772";"12012,7862593";"0,0";"67233,2024167";"162684,5663585";"0,0"
1996;2;"68203,8197422";"4920,5409499";"0,0";"52686,3666305";"147416,2088948";"0,0"
1996;3;"65275,6411156";"8717,2478066";"0,0";"152004,4097677";"278427,238021199";"0,0"
1996;4;"51278,3536489";"6439,8184587";"0,0";"89890,6187772999";"194607,9862667";"0,0"
1996;5;"34312,46783";"7060,6779911";"0,0";"128276,1158085";"201956,2792592";"0,0"
1996;6;"70355,711434";"15287,268619";"0,0";"109189,9712736";"180377,0582825";"0,0"
1996;7;"66626,2765226";"8825,1381524";"0,0";"135877,9007453";"197561,8936925";"0,0"
1996;8;"54357,6824395";"1070,394783";"0,0";"114731,7777909";"221303,3701464";"0,0"
1996;9;"39831,881455";"6093,9622394";"0,0";"134573,9107349";"215271,161256";"0,0"
1996;10;"27508,8766905";"10103,1000297";"0,0";"116051,052895";"168509,4867123";"0,0"
1996;11;"58980,577774";"3802,0897433";"0,0";"91849,2943358999";"161126,938756";"0,0"
1996;12;"119484,4576866";"1957,4791396";"0,0";"164159,0542519";"198695,717103";"0,0"
1997;1;"33438,7598056";"70000,0";"0,0";"86730,6114728999";"138558,8343179";"0,0"
1997;2;"34185,1282965";"536,0739983";"0,0";"104012,0276492";"103617,0644896";"0,0"
1997;3;"24098,2202429";"0,0";"0,0";"110945,8615928";"155966,0810646";"0,0"
1997;4;"68346,2362011";"28430,4952988";"0,0";"137475,4442608";"206360,901674";"0,0"
1997;5;"29455,601944";"10945,03734";"0,0";"172741,5273326";"203543,5017831";"0,0"
1997;6;"36840,4264965";"32031,0689287";"0,0";"229188,884274999";"225618,5573348";"0,0"
1997;7;"60808,6971941";"20009,7145688";"0,0";"154216,851077799";"220745,5433877";"0,0"
1997;8;"54534,946028";"73701,71224";"0,0";"92239,46992";"177178,6985442";"0,0"
1997;9;"39545,0139013";"43932,893992";"0,0";"280025,702245601";"208116,7788893";"0,0"
1997;10;"53548,1189519";"56347,8286973";"0,0";"186375,12544";"269552,792129199";"0,0"
1997;11;"41642,0154479";"56320,16746";"0,0";"195982,6362689";"278030,2734037";"0,0"
1997;12;"43667,8939492";"93171,07776";"0,0";"266464,4770272";"377349,5016649";"0,0"
1998;1;"6849,9171877";"98564,39973";"0,0";"147915,9201724";"241980,2866511";"0,0"
1998;2;"72140,287556";"44224,0002";"0,0";"164859,7740203";"257030,6380069";"0,0"
1998;3;"117321,1067484";"61223,57789";"0,0";"138835,1694529";"315284,958538901";"0,0"
1998;4;"8102,4177137";"40091,40847";"0,0";"153393,2977226";"256623,8818152";"0,0"
1998;5;"15276,6276261";"87524,63";"0,0";"140363,6473735";"274303,5533986";"0,0"
1998;6;"45858,9531669";"93724,06325";"0,0";"152749,2920057";"274022,968033701";"0,0"
1998;7;"31976,5331787";"56772,324";"0,0";"166053,1442706";"321185,9796604";"0,0"
1998;8;"90650,4184419";"91736,842";"0,0";"119391,495339";"337867,265765801";"0,0"
1998;9;"62932,143299";"36188,1085398";"0,0";"214004,632371701";"227482,626597";"0,0"
1998;10;"93857,6825433";"7821,0849";"140,4622216";"157886,7372656";"296291,6469626";"0,0"
1998;11;"83763,9973682";"46862,7975909";"69,8512403";"236971,8894922";"275760,5264383";"0,0"
1998;12;"111177,9702558";"107519,3454134";"0,0";"189048,2463883";"229039,6224042";"0,0"
