"ano";"mes";"agropecuaria";"industria_extrativa";"bebidas";"borracha_e_plastico";"celulose_e_papel";"confec_vestuario_e_acessorios";"coque_petroleo_e_combustivel";"couro_artefato_e_calcado";"equip_info_eletronico_otico";"farmoquimico_farmaceutico";"fumo";"grafica";"madeira";"manutencao_reparacao_instal";"maq_aparelho_eletrico";"maquinas_e_equipamentos";"metalurgia";"mineral_nao_metalico";"moveis";"outros_equip_transporte";"produto_de_metal";"produtos_alimenticios";"produtos_diversos";"quimica";"textil";"veiculo_reboque_e_carroceria";"administracao_publica";"agua_esgoto_e_lixo";"alojamento_e_alimentacao";"artes_cultura_e_esporte";"ativ_aux_transporte_e_entrega";"ativ_financeira_e_seguro";"ativ_imobil_profissional_e_adm";"comercio";"construcao";"educacao";"eletricidade_e_gas";"informacao_e_comunicacao";"organismos_internacionais";"outras_ativ_servicos";"saude_e_serv_social";"telecomunicacoes";"transporte_aereo";"transporte_aquaviario";"transporte_terrestre"
1995;11;"55,8495436400003";"2,64583809";"58,68884453";"21,52615667";"31,89967142";"5,75193012";"36,63935281";"7,89864515";"3,62129931";"0,83186839";"2,18471246";"3,28165843";"3,82750906";"1,83648614";"4,43720678";"30,78866128";"42,63959365";"38,70241027";"3,14700346";"12,33675806";"11,40576354";"36,1201090699999";"2,06639162";"13,85063576";"37,7979297";"22,64276873";"1,3619801";"0,42901658";"15,20268326";"3,63515512";"0,5588987";"5,94823432";"1,42486859";"26,98711402";"9,36390908";"2,20166851";"4,26524064";"1,30667746";"0,0";"0,25736949";"3,94414442";"4,02352533";"0,0";"11,9574123";"61,5379420100001"
1995;12;"64,3487051600004";"18,30042658";"69,92546639";"13,68634178";"40,54786597";"2,68250942";"4,47785972";"13,08023557";"3,14495437";"1,07212752";"0,0";"8,85401579";"5,08193599";"0,53673129";"14,1385574";"103,60042939";"72,92427057";"35,1031494";"2,3778801";"0,20714349";"10,69724366";"62,7516083500001";"2,76649127";"81,2984325";"20,50004799";"46,57331259";"0,0";"0,83963402";"9,80057419";"0,52719899";"5,21313794";"6,60888177";"3,05505345";"12,80685581";"9,39082639";"3,98803878";"438,76535932";"0,64459095";"0,0";"0,73026618";"3,46386532";"0,0556466";"0,0";"56,89363912";"55,7760117800001"
1996;1;"43,1002826599998";"10,09955783";"23,80447723";"15,07540098";"5,51492017";"0,47933651";"3,06452959";"3,55136958";"3,19267971";"0,83965788";"0,30346296";"1,11068261";"3,45862979";"0,00245484";"5,21669534";"19,26363771";"10,04018024";"9,49890208000001";"2,13653845";"0,91722997";"4,45742297";"27,37246752";"0,45827255";"21,02848712";"6,4224114";"28,36017437";"0,0";"0,50076044";"4,93380803";"2,06546316";"6,82172114";"7,72698776";"1,78720503";"14,26122841";"16,89766902";"3,03363851";"2,74244101";"0,49386647";"0,0";"0,12249328";"3,05882461";"150,00237951";"0,0";"3,87791463";"127,74715936"
1996;2;"33,5525372899998";"2,7146771";"31,09572029";"8,96762397";"43,2848309";"1,5890667";"3,1454311";"23,01108466";"2,76446425";"0,28737059";"0,0";"1,54253925";"2,86335626";"0,0";"33,24475337";"14,61087382";"10,0262013";"26,81616203";"1,14448997";"48,02799382";"7,35496796";"18,49125657";"0,28245999";"42,66323874";"28,28066496";"36,1847657";"0,04643099";"1,40230955";"4,34703049";"0,16982631";"3,18611635";"14,76280323";"1,83942546";"8,45098832";"5,89520345";"2,65402632";"190,28733898";"0,93956706";"0,0";"0,16949196";"2,84947428";"0,05584249";"0,25318992";"11,88586616";"44,9381681300001"
1996;3;"88,6890849099996";"7,98880023";"78,22604981";"13,55268868";"47,26791441";"2,15713046";"19,02266877";"13,80950755";"1,04004528";"2,6343723";"0,0";"6,09705036";"5,21426511";"2,05261921";"15,04594169";"26,36986308";"77,57820436";"24,3699311";"3,06225302";"6,35148325";"15,98314252";"37,03085723";"1,19162751";"10,54273675";"7,92407135";"17,29799414";"0,1768562";"1,62053294";"13,74688828";"3,29221898";"14,45691574";"16,12331773";"1,70458032";"22,02083726";"9,16520258";"4,96406553";"4,84890018";"0,5465768";"0,0";"0,1596183";"4,29190248";"0,50812066";"0,0";"19,48565818";"72,67639992"
1996;4;"45,44511026";"53,93891426";"53,23301915";"11,39653644";"18,54479251";"0,38450792";"4,65428763";"7,78727335";"10,57228802";"0,55790881";"0,0";"0,53290404";"3,64696538";"0,46332695";"5,43752811";"16,40125978";"39,63303148";"12,74615516";"1,68092721";"0,0";"10,96471849";"33,14335247";"0,17675134";"8,07960445";"8,29772199";"29,62353167";"0,0";"0,24789995";"8,32845578";"4,36272157";"1,73900402";"15,43722079";"1,65877523";"10,19939201";"3,40233509";"2,26841605";"8,47781624";"1,538259";"0,0";"0,11750152";"3,05728823";"0,11039999";"1,78497084";"14,67146484";"52,81445235"
1996;5;"48,7719034500001";"5,69612118";"33,82559719";"12,37900198";"30,04243035";"1,05722944";"7,31812291";"8,57321106";"5,07285748";"0,43899221";"0,0";"4,90699356";"5,35063753";"0,0";"6,81496285";"11,92492823";"33,05738266";"17,24939872";"1,24959971";"0,93911782";"20,69344994";"87,4703538399999";"0,86375229";"25,17098595";"25,86281805";"18,39875091";"0,0";"0,22535506";"6,15783186";"1,64035255";"11,48602222";"504,57701306";"16,89748573";"16,81917133";"13,4046731";"4,50649107";"261,05256511";"0,84819437";"0,0";"0,50733361";"4,33860823";"0,17473566";"0,313033";"5,88519819";"60,5112395300001"
1996;6;"99,1425745400001";"7,64193871";"36,94646085";"15,97596781";"21,95613549";"1,66174048";"4,79976815";"12,02498998";"13,37095922";"0,57841508";"0,26048187";"0,75580618";"3,54883584";"0,33421765";"24,42565817";"10,96775224";"139,03652621";"10,62910315";"0,94566535";"14,38850341";"5,89370718";"29,12147781";"1,06519603";"16,0527372";"3,02562108";"21,70854211";"0,0";"1,49569179";"8,18728191";"8,89857651";"1,3424233";"14,37117466";"4,14174245";"12,08755337";"7,32901791";"3,2445783";"4,24483959";"0,82269033";"0,0";"0,1398161";"4,21671602";"2,03095905";"0,0";"9,05903932";"42,08157214"
1996;7;"91,9185056499997";"18,6525687";"13,56783213";"10,23051572";"88,09353889";"1,31876625";"4,47144561";"9,14099444";"3,64931641";"1,45172112";"0,30628137";"4,98860353";"3,6515677";"0,0882";"10,10889318";"17,71641908";"30,62632072";"25,17906258";"2,0699272";"0,04396607";"9,4820989";"34,3362948199999";"2,47038011";"25,79483251";"5,54895251";"16,81325757";"0,0";"0,43353482";"13,38357996";"3,93082889";"2,09614486";"23,89659666";"31,10325875";"22,42269545";"17,57632406";"2,73268024";"138,12895689";"1,12329794";"0,0";"0,28638437";"2,65257872";"0,15126006";"0,0";"31,41323653";"70,7670527700001"
1996;8;"71,9825497000001";"1,72507054";"45,79267195";"13,83759754";"38,6318624";"0,48930194";"55,43412039";"10,77540303";"6,09502834";"0,25895825";"0,0";"0,58498517";"1,91994609";"0,0";"10,59850852";"11,19791596";"16,60777855";"30,95688388";"1,35050695";"0,66240775";"6,92184373";"24,20183547";"5,0184045";"21,34098234";"6,26082657";"20,32063452";"0,116775";"1,37257399";"10,76527775";"3,29931562";"4,87179859";"17,33412284";"12,5771835";"21,24024171";"15,29132249";"2,23465251";"33,47706766";"1,29260007";"0,0";"0,07646827";"3,03154695";"0,77250685";"0,0";"6,92069944";"77,5919805199998"
