"tipo";"nome_agente_financeiro";"2020";"2019";"2018";"2017";"2016";"2015";"2014";"2013";"2012";"2011";"2010";"2009";"2008";"2007";"2006";"2005";"2004";"2003";"2002";"2001";"2000";"1999";"1998";"1997";"1996";"1995"
"Agente Público";"BDMG        ";"183,84956668";"274,87158672";"350,50241889";"452,23308918";"911,20153735";"1064,48605137";"1380,6408944";"975,245380000001";"421,79877797";"449,76219378";"375,00389904";"249,51697704";"169,40166124";"175,68872468";"117,98795898";"109,70636214";"83,86802129";"127,49554034";"104,99962628";"45,39553717";"46,12839886";"85,094712";"167,23888101";"84,12952736";"55,24138079";"55,21490256"
"Agente Público";"BEMAT       ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"2,83183102";"2,60125747"
"Agente Público";"BNB         ";"0,01172572";"1,05147649";"0,16723344";"13,54619855";"1,86166249";"2,25838638";"13,89220732";"175,50121298";"143,084556";"276,4499711";"341,40596425";"282,21321438";"8,56466144";"0,132648";"0,83450073";"1,26738682";"4,29928989";"36,61311449";"116,09441515";"238,17091998";"332,228450159999";"341,71319783";"593,607237200001";"385,959915280001";"134,45748113";"111,57800775"
"Agente Público";"BRB BM      ";"90,53939177";"0,0";"0,0";"0,049312";"5,60611993";"62,07029842";"88,07168049";"112,83650316";"25,4161677";"12,91409725";"25,59068469";"12,07012614";"0,0";"0,0";"0,0";"0,0";"0,9723008";"4,70913274";"7,46060777";"10,37813329";"37,55663562";"20,29601853";"7,1603666";"15,19879485";"9,74829157000001";"7,58368542000001"
"Agente Público";"BRDE        ";"1441,18495154";"1651,24029736";"1574,02832759";"2254,40225221";"2480,37050664";"2684,81019066";"2658,86362192999";"2947,45074618999";"1888,93227868";"1591,58364086";"1795,58495985";"1829,77535898";"1326,64646171";"1033,3421657";"845,81228168";"735,51508129";"645,14630857";"422,30609546";"352,4883839";"241,32193966";"148,65670723";"213,11241479";"337,209394170001";"499,181448130002";"382,905811140004";"220,820510690001"
"Agente Público";"CAIXA CEF   ";"265,85974368";"609,900018999991";"851,971831799992";"2674,25054342004";"1844,47950371004";"4913,57381527995";"5962,11353087987";"6499,41180856009";"3813,98893022003";"2835,18140675001";"2528,02521117999";"1819,94405498";"913,031023289998";"333,42317228";"235,85964939";"211,37850065";"117,60877082";"121,25332253";"78,92788273";"90,61833634";"138,01342686";"32,1013478";"1,588805";"0,0";"0,0";"0,0"
"Agente Público";"DESENBAHIA  ";"29,68209842";"41,93630739";"54,29916038";"69,8262225";"80,72011613";"79,7922472";"96,15753499";"39,8058997";"34,02428008";"18,75155688";"17,54893348";"18,56225832";"18,92498032";"15,14582501";"9,48494561999997";"14,61716783";"11,21819455";"21,38220828";"30,05506543";"27,02339692";"48,13234253";"75,85756546";"62,80843527";"56,11777543";"118,25761761";"70,80861277"
"Agente Público";"DESENVOLVE S";"294,68085342";"97,0509229";"183,28463753";"124,46852534";"70,09934852";"105,14885855";"163,27308505";"120,3142819";"69,68039494";"57,23039197";"78,86724035";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"Agente Público";"FINEP       ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"20,26822361";"5,99862356";"40,73185278";"102,41577424";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,479358";"0,0";"2,019297";"9,86752367";"30,143297";"41,832173";"0,0";"0,0";"0,0"
"Agente Público";"GOIASFOMENTO";"0,0";"0,0";"0,0";"0,44802579";"1,1877359";"2,83712413";"9,49074753";"2,030521";"0,89576";"0,0";"0,0";"0,0";"0,077076";"0,115614";"0,323";"0,0";"0,0";"0,0";"0,0";"0,27558151";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"Agente Privado";"ABC BR BM   ";"392,70489553";"293,17352901";"220,93217704";"379,73336179";"654,68492636";"749,69976536";"606,65125193";"1266,07364847";"903,50692914";"845,84126785";"1593,11132503";"952,19415005";"250,35911035";"163,14187185";"229,70641611";"142,0683673";"51,80255116";"34,32866338";"64,40463004";"183,49651094";"101,34596908";"57,0044737";"33,99319042";"7,52442784";"3,19941678";"0,98393225"
"Agente Privado";"AILOS       ";"1,983";"0,0";"0,0";"1,7530879";"0,45528672";"0,0375";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"Agente Privado";"ALFA BI     ";"228,04327268";"166,27054928";"392,4446068";"201,44110711";"905,487855379999";"412,69347606";"570,19016043";"451,898128670001";"441,9876644";"458,8493516";"459,2719962";"253,99750205";"848,17749017";"449,63867345";"357,19316335";"267,49320115";"213,20960784";"153,76990179";"182,64648392";"435,21622963";"446,60442303";"358,79604439";"136,61082912";"63,6474225900001";"20,71545659";"28,02419107"
"Agente Privado";"ALFA CFI    ";"9,37302409";"0,0";"0,644412";"1,624";"3,046728";"78,01457839";"49,52012815";"37,70999169";"30,03958619";"28,25584652";"49,89396214";"68,98987265";"204,46569627";"132,98744126";"99,76667867";"49,34338164";"81,1280762";"17,95851267";"11,72787163";"3,31821687";"58,26727192";"3,99678975";"0,0";"0,0";"0,0";"0,0"
"Agente Privado";"ALFA LEASING";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"1,1353062";"0,36808924";"6,54957171";"0,0";"0,0";"0,0"
